up_votes,label,years
2,japan,2008
3,US,2008
3,egypt,2008
0,un,2008
3,US,2008
9,US,2008
4,uk,2008
7,US,2008
7,iraq,2008
2,china,2008
3,israel,2008
3,egypt,2008
5,US,2008
1,uk,2008
3,ukraine,2008
4,US,2008
14,US,2008
0,US,2008
2,uk,2008
1,iraq,2008
0,US,2008
3,US,2008
4,japan,2008
2,un,2008
8,iraq,2008
1,US,2008
52,US,2008
52,iraq,2008
5,US,2008
0,iraq,2008
8,US,2008
27,US,2008
27,china,2008
3,US,2008
3,ukraine,2008
2,US,2008
17,iraq,2008
13,US,2008
1,india,2008
0,iraq,2008
1,iraq,2008
0,US,2008
0,US,2008
0,china,2008
4,israel,2008
0,US,2008
0,US,2008
0,iraq,2008
0,US,2008
0,US,2008
0,US,2008
6,US,2008
0,US,2008
0,japan,2008
6,US,2008
0,US,2008
7,egypt,2008
0,israel,2008
0,US,2008
0,israel,2008
1,US,2008
3,uk,2008
0,israel,2008
70,US,2008
11,japan,2008
1,US,2008
1,iraq,2008
2,iraq,2008
6,iraq,2008
1,china,2008
0,uk,2008
0,US,2008
4,uk,2008
3,US,2008
7,US,2008
3,US,2008
3,iraq,2008
0,uk,2008
4,US,2008
28,india,2008
2,uk,2008
8,iraq,2008
2,US,2008
1,US,2008
1,US,2008
2,US,2008
55,US,2008
0,israel,2008
9,US,2008
2,US,2008
1,US,2008
2,un,2008
2,iraq,2008
2,china,2008
0,US,2008
0,iraq,2008
0,US,2008
2,un,2008
5,US,2008
5,iraq,2008
5,uk,2008
5,US,2008
3,iraq,2008
2,iraq,2008
2,iraq,2008
2,china,2008
0,uk,2008
0,uk,2008
0,iraq,2008
5,US,2008
3,US,2008
0,israel,2008
5,uk,2008
0,uk,2008
2,uk,2008
3,india,2008
2,uk,2008
6,iraq,2008
4,uk,2008
21,US,2008
2,china,2008
24,uk,2008
2,US,2008
4,US,2008
4,iraq,2008
2,iraq,2008
2,iraq,2008
6,US,2008
3,US,2008
2,iraq,2008
2,uk,2008
0,US,2008
1,US,2008
1,india,2008
2,iraq,2008
0,china,2008
5,iraq,2008
4,US,2008
1,un,2008
0,israel,2008
7,china,2008
0,US,2008
16,US,2008
1,US,2008
8,US,2008
0,uk,2008
2,iraq,2008
5,US,2008
2,india,2008
3,iraq,2008
0,iraq,2008
91,china,2008
0,iraq,2008
2,israel,2008
5,iraq,2008
0,US,2008
5,US,2008
0,uk,2008
3,iraq,2008
0,US,2008
0,iraq,2008
1,US,2008
1,iraq,2008
2,US,2008
0,US,2008
0,japan,2008
0,US,2008
4,US,2008
0,israel,2008
2,iraq,2008
1,US,2008
1,iraq,2008
0,US,2008
0,china,2008
5,US,2008
0,uk,2008
0,US,2008
3,uk,2008
1,uk,2008
2,US,2008
2,israel,2008
0,US,2008
0,iraq,2008
1,US,2008
1,un,2008
1,US,2008
0,US,2008
0,iraq,2008
0,US,2008
0,japan,2008
2,uk,2008
7,US,2008
7,iraq,2008
2,uk,2008
5,un,2008
0,un,2008
0,uk,2008
0,US,2008
9,US,2008
0,un,2008
2,US,2008
3,US,2008
0,china,2008
0,US,2008
0,iraq,2008
1,japan,2008
0,israel,2008
0,china,2008
6,ukraine,2008
2,uk,2008
0,china,2008
0,iraq,2008
11,iraq,2008
5,US,2008
1,US,2008
1,ukraine,2008
6,US,2008
0,US,2008
0,uk,2008
0,iraq,2008
3,china,2008
15,israel,2008
15,un,2008
2,US,2008
2,iraq,2008
6,un,2008
2,ukraine,2008
1,ukraine,2008
0,US,2008
0,iraq,2008
1,US,2008
1,iraq,2008
2,US,2008
6,US,2008
0,israel,2008
1,ukraine,2008
7,US,2008
7,iraq,2008
5,US,2008
4,japan,2008
9,china,2008
0,israel,2008
12,uk,2008
3,US,2008
10,israel,2008
0,uk,2008
5,US,2008
5,china,2008
52,uk,2008
0,china,2008
0,china,2008
0,iraq,2008
46,US,2008
3,china,2008
6,china,2008
128,US,2008
128,iraq,2008
24,uk,2008
23,US,2008
5,israel,2008
4,US,2008
0,US,2008
0,china,2008
19,iraq,2008
0,china,2008
1,israel,2008
1,US,2008
0,israel,2008
1,uk,2008
3,US,2008
2,uk,2008
1,uk,2008
